dayOfWeek,dayType,label,startTime,endTime
"Monday","Block Day - Odd Periods","Period 1","8:10 AM","9:33 AM"
"Monday","Block Day - Odd Periods","Break","9:33 AM","9:48 AM"
"Monday","Block Day - Odd Periods","SSR","9:51 AM","10:23 AM"
"Monday","Block Day - Odd Periods","Period 3","10:26 AM","11:49 AM"
"Monday","Block Day - Odd Periods","Lunch","11:49 AM","12:19 PM"
"Monday","Block Day - Odd Periods","Period 5","12:22 PM","1:45 PM"
"Monday","Block Day - Odd Periods","ELT","1:48 PM","2:40 PM"
"Tuesday","Block Day - Even Periods","Period 2","8:10 AM","9:33 AM"
"Tuesday","Block Day - Even Periods","Break","9:33 AM","9:48 AM"
"Tuesday","Block Day - Even Periods","SSR","9:51 AM","10:23 AM"
"Tuesday","Block Day - Even Periods","Period 4","10:26 AM","11:49 AM"
"Tuesday","Block Day - Even Periods","Lunch","11:49 AM","12:19 PM"
"Tuesday","Block Day - Even Periods","Period 6","12:22 PM","1:45 PM"
"Tuesday","Block Day - Even Periods","ELT","1:48 PM","2:40 PM"
"Wednesday","Short Day","Period 1","8:10 AM","8:50 AM"
"Wednesday","Short Day","Period 2","8:53 AM","9:31 AM"
"Wednesday","Short Day","Period 3","9:34 AM","10:12 AM"
"Wednesday","Short Day","Break","10:12 AM","10:27 AM"
"Wednesday","Short Day","Period 4","10:30 AM","11:08 AM"
"Wednesday","Short Day","Period 5","11:11 AM","11:49 AM"
"Wednesday","Short Day","Period 6","11:52 AM","12:30 PM"
"Thursday","Full Day","Period 1","8:10 AM","9:07 AM"
"Thursday","Full Day","Period 2","9:10 AM","10:05 AM"
"Thursday","Full Day","Break","10:05 AM","10:18 AM"
"Thursday","Full Day","Period 3","10:21 AM","11:16 AM"
"Thursday","Full Day","Period 4","11:19 AM","12:14 PM"
"Thursday","Full Day","Lunch","12:14 PM","12:44 PM"
"Thursday","Full Day","Period 5","12:47 PM","1:42 PM"
"Thursday","Full Day","Period 6","1:45 PM","2:40 PM"
"Friday","Full Day","Period 1","8:10 AM","9:07 AM"
"Friday","Full Day","Period 2","9:10 AM","10:05 AM"
"Friday","Full Day","Break","10:05 AM","10:18 AM"
"Friday","Full Day","Period 3","10:21 AM","11:16 AM"
"Friday","Full Day","Period 4","11:19 AM","12:14 PM"
"Friday","Full Day","Lunch","12:14 PM","12:44 PM"
"Friday","Full Day","Period 5","12:47 PM","1:42 PM"
"Friday","Full Day","Period 6","1:45 PM","2:40 PM"
