Date,InstructionalDay,SchoolDay,DayType,Event,Notes
"2026-08-06","TRUE","1","Full Day","","First Student Day - Full Day"
"2026-08-07","TRUE","2","Full Day","",""
"2026-08-10","TRUE","3","Block Day - Odd Periods","",""
"2026-08-11","TRUE","4","Block Day - Even Periods","",""
"2026-08-12","TRUE","5","Short Day","",""
"2026-08-13","TRUE","6","Full Day","",""
"2026-08-14","TRUE","7","Full Day","",""
"2026-08-17","TRUE","8","Block Day - Odd Periods","",""
"2026-08-18","TRUE","9","Block Day - Even Periods","",""
"2026-08-19","TRUE","10","Short Day","",""
"2026-08-20","TRUE","11","Full Day","",""
"2026-08-21","TRUE","12","Full Day","",""
"2026-08-24","TRUE","13","Block Day - Odd Periods","",""
"2026-08-25","TRUE","14","Block Day - Even Periods","",""
"2026-08-26","TRUE","15","Short Day","",""
"2026-08-27","TRUE","16","Full Day","",""
"2026-08-28","TRUE","17","Full Day","",""
"2026-08-31","TRUE","18","Block Day - Odd Periods","",""
"2026-09-01","TRUE","19","Block Day - Even Periods","",""
"2026-09-02","TRUE","20","Short Day","",""
"2026-09-03","TRUE","21","Full Day","",""
"2026-09-04","TRUE","22","Full Day","",""
"2026-09-07","FALSE","","No School","Labor Day",""
"2026-09-08","TRUE","23","Block Day - Even Periods","",""
"2026-09-09","TRUE","24","Short Day","",""
"2026-09-10","TRUE","25","Full Day","",""
"2026-09-11","TRUE","26","Full Day","",""
"2026-09-14","TRUE","27","Block Day - Odd Periods","",""
"2026-09-15","TRUE","28","Block Day - Even Periods","",""
"2026-09-16","TRUE","29","Short Day","",""
"2026-09-17","TRUE","30","Full Day","",""
"2026-09-18","TRUE","31","Full Day","",""
"2026-09-21","TRUE","32","Block Day - Odd Periods","",""
"2026-09-22","TRUE","33","Block Day - Even Periods","",""
"2026-09-23","TRUE","34","Short Day","",""
"2026-09-24","TRUE","35","Full Day","",""
"2026-09-25","TRUE","36","Full Day","",""
"2026-09-28","TRUE","37","Block Day - Odd Periods","",""
"2026-09-29","TRUE","38","Block Day - Even Periods","",""
"2026-09-30","TRUE","39","Short Day","",""
"2026-10-01","TRUE","40","Full Day","",""
"2026-10-02","TRUE","41","Full Day","",""
"2026-10-05","TRUE","42","Block Day - Odd Periods","",""
"2026-10-06","TRUE","43","Block Day - Even Periods","",""
"2026-10-07","TRUE","44","Short Day","",""
"2026-10-08","TRUE","45","Full Day","",""
"2026-10-09","FALSE","","No School","Professional Development Day",""
"2026-10-12","FALSE","","No School","Indigenous Peoples Day",""
"2026-10-13","TRUE","46","Block Day - Even Periods","",""
"2026-10-14","TRUE","47","Short Day","",""
"2026-10-15","TRUE","48","Full Day","",""
"2026-10-16","TRUE","49","Full Day","",""
"2026-10-19","TRUE","50","Block Day - Odd Periods","",""
"2026-10-20","TRUE","51","Block Day - Even Periods","",""
"2026-10-21","TRUE","52","Short Day","",""
"2026-10-22","TRUE","53","Full Day","",""
"2026-10-23","TRUE","54","Full Day","",""
"2026-10-26","TRUE","55","Block Day - Odd Periods","",""
"2026-10-27","TRUE","56","Block Day - Even Periods","",""
"2026-10-28","TRUE","57","Short Day","",""
"2026-10-29","TRUE","58","Full Day","",""
"2026-10-30","TRUE","59","Full Day","",""
"2026-11-02","TRUE","60","Block Day - Odd Periods","",""
"2026-11-03","TRUE","61","Block Day - Even Periods","",""
"2026-11-04","TRUE","62","Short Day","",""
"2026-11-05","TRUE","63","Full Day","",""
"2026-11-06","TRUE","64","Full Day","","SVMS End of Trimester 1"
"2026-11-09","TRUE","65","Block Day - Odd Periods","",""
"2026-11-10","TRUE","66","Block Day - Even Periods","",""
"2026-11-11","FALSE","","No School","Veterans Day",""
"2026-11-12","TRUE","67","Full Day","",""
"2026-11-13","TRUE","68","Full Day","",""
"2026-11-16","TRUE","69","Block Day - Odd Periods","",""
"2026-11-17","TRUE","70","Block Day - Even Periods","",""
"2026-11-18","TRUE","71","Short Day","",""
"2026-11-19","TRUE","72","Full Day","",""
"2026-11-20","TRUE","73","Full Day","",""
"2026-11-23","FALSE","","No School","Thanksgiving Break",""
"2026-11-24","FALSE","","No School","Thanksgiving Break",""
"2026-11-25","FALSE","","No School","Thanksgiving Break",""
"2026-11-26","FALSE","","No School","Thanksgiving Break",""
"2026-11-27","FALSE","","No School","Thanksgiving Break",""
"2026-11-30","TRUE","74","Block Day - Odd Periods","",""
"2026-12-01","TRUE","75","Block Day - Even Periods","",""
"2026-12-02","TRUE","76","Short Day","",""
"2026-12-03","TRUE","77","Full Day","",""
"2026-12-04","TRUE","78","Full Day","",""
"2026-12-07","TRUE","79","Block Day - Odd Periods","",""
"2026-12-08","TRUE","80","Block Day - Even Periods","",""
"2026-12-09","TRUE","81","Short Day","",""
"2026-12-10","TRUE","82","Full Day","",""
"2026-12-11","TRUE","83","Full Day","",""
"2026-12-14","TRUE","84","Block Day - Odd Periods","",""
"2026-12-15","TRUE","85","Block Day - Even Periods","",""
"2026-12-16","TRUE","86","Short Day","",""
"2026-12-17","TRUE","87","Full Day","",""
"2026-12-18","TRUE","88","Full Day","",""
"2026-12-21","FALSE","","No School","Winter Break",""
"2026-12-22","FALSE","","No School","Winter Break",""
"2026-12-23","FALSE","","No School","Winter Break",""
"2026-12-24","FALSE","","No School","Winter Break",""
"2026-12-25","FALSE","","No School","Winter Break",""
"2026-12-28","FALSE","","No School","Winter Break",""
"2026-12-29","FALSE","","No School","Winter Break",""
"2026-12-30","FALSE","","No School","Winter Break",""
"2026-12-31","FALSE","","No School","Winter Break",""
"2027-01-01","FALSE","","No School","Winter Break",""
"2027-01-04","TRUE","89","Block Day - Odd Periods","",""
"2027-01-05","TRUE","90","Block Day - Even Periods","",""
"2027-01-06","TRUE","91","Short Day","",""
"2027-01-07","TRUE","92","Full Day","",""
"2027-01-08","TRUE","93","Full Day","",""
"2027-01-11","TRUE","94","Block Day - Odd Periods","",""
"2027-01-12","TRUE","95","Block Day - Even Periods","",""
"2027-01-13","TRUE","96","Short Day","",""
"2027-01-14","TRUE","97","Full Day","",""
"2027-01-15","FALSE","","No School","Professional Development Day",""
"2027-01-18","FALSE","","No School","Martin Luther King Jr. Day",""
"2027-01-19","TRUE","98","Block Day - Even Periods","",""
"2027-01-20","TRUE","99","Short Day","",""
"2027-01-21","TRUE","100","Full Day","",""
"2027-01-22","TRUE","101","Full Day","",""
"2027-01-25","TRUE","102","Block Day - Odd Periods","",""
"2027-01-26","TRUE","103","Block Day - Even Periods","",""
"2027-01-27","TRUE","104","Short Day","",""
"2027-01-28","TRUE","105","Full Day","",""
"2027-01-29","TRUE","106","Full Day","",""
"2027-02-01","TRUE","107","Block Day - Odd Periods","",""
"2027-02-02","TRUE","108","Block Day - Even Periods","",""
"2027-02-03","TRUE","109","Short Day","",""
"2027-02-04","TRUE","110","Full Day","",""
"2027-02-05","TRUE","111","Full Day","",""
"2027-02-08","TRUE","112","Block Day - Odd Periods","",""
"2027-02-09","TRUE","113","Block Day - Even Periods","",""
"2027-02-10","TRUE","114","Short Day","",""
"2027-02-11","TRUE","115","Full Day","",""
"2027-02-12","FALSE","","No School","Presidents Day Break",""
"2027-02-15","FALSE","","No School","Presidents Day Break",""
"2027-02-16","TRUE","116","Block Day - Even Periods","",""
"2027-02-17","TRUE","117","Short Day","",""
"2027-02-18","TRUE","118","Full Day","",""
"2027-02-19","TRUE","119","Full Day","","SVMS End of Trimester 2"
"2027-02-22","TRUE","120","Block Day - Odd Periods","",""
"2027-02-23","TRUE","121","Block Day - Even Periods","",""
"2027-02-24","TRUE","122","Short Day","",""
"2027-02-25","TRUE","123","Full Day","",""
"2027-02-26","TRUE","124","Full Day","",""
"2027-03-01","TRUE","125","Block Day - Odd Periods","",""
"2027-03-02","TRUE","126","Block Day - Even Periods","",""
"2027-03-03","TRUE","127","Short Day","",""
"2027-03-04","TRUE","128","Full Day","",""
"2027-03-05","TRUE","129","Full Day","",""
"2027-03-08","TRUE","130","Block Day - Odd Periods","",""
"2027-03-09","TRUE","131","Block Day - Even Periods","",""
"2027-03-10","TRUE","132","Short Day","",""
"2027-03-11","TRUE","133","Full Day","",""
"2027-03-12","FALSE","","No School","Non-Student / Non-Staff Day",""
"2027-03-15","FALSE","","No School","Non-Student / Non-Staff Day",""
"2027-03-16","TRUE","134","Block Day - Even Periods","",""
"2027-03-17","TRUE","135","Short Day","",""
"2027-03-18","TRUE","136","Full Day","",""
"2027-03-19","TRUE","137","Full Day","",""
"2027-03-22","TRUE","138","Block Day - Odd Periods","",""
"2027-03-23","TRUE","139","Block Day - Even Periods","",""
"2027-03-24","TRUE","140","Short Day","",""
"2027-03-25","TRUE","141","Full Day","",""
"2027-03-26","TRUE","142","Full Day","",""
"2027-03-29","TRUE","143","Block Day - Odd Periods","",""
"2027-03-30","TRUE","144","Block Day - Even Periods","",""
"2027-03-31","TRUE","145","Short Day","",""
"2027-04-01","TRUE","146","Full Day","",""
"2027-04-02","TRUE","147","Full Day","",""
"2027-04-05","FALSE","","No School","Spring Break",""
"2027-04-06","FALSE","","No School","Spring Break",""
"2027-04-07","FALSE","","No School","Spring Break",""
"2027-04-08","FALSE","","No School","Spring Break",""
"2027-04-09","FALSE","","No School","Spring Break",""
"2027-04-12","FALSE","","No School","Spring Break",""
"2027-04-13","TRUE","148","Block Day - Even Periods","",""
"2027-04-14","TRUE","149","Short Day","",""
"2027-04-15","TRUE","150","Full Day","",""
"2027-04-16","TRUE","151","Full Day","",""
"2027-04-19","TRUE","152","Block Day - Odd Periods","",""
"2027-04-20","TRUE","153","Block Day - Even Periods","",""
"2027-04-21","TRUE","154","Short Day","",""
"2027-04-22","TRUE","155","Full Day","",""
"2027-04-23","TRUE","156","Full Day","",""
"2027-04-26","TRUE","157","Block Day - Odd Periods","",""
"2027-04-27","TRUE","158","Block Day - Even Periods","",""
"2027-04-28","TRUE","159","Short Day","",""
"2027-04-29","TRUE","160","Full Day","",""
"2027-04-30","TRUE","161","Full Day","",""
"2027-05-03","TRUE","162","Block Day - Odd Periods","",""
"2027-05-04","TRUE","163","Block Day - Even Periods","",""
"2027-05-05","TRUE","164","Short Day","",""
"2027-05-06","TRUE","165","Full Day","",""
"2027-05-07","TRUE","166","Full Day","",""
"2027-05-10","TRUE","167","Block Day - Odd Periods","",""
"2027-05-11","TRUE","168","Block Day - Even Periods","",""
"2027-05-12","TRUE","169","Short Day","",""
"2027-05-13","TRUE","170","Full Day","",""
"2027-05-14","TRUE","171","Full Day","",""
"2027-05-17","TRUE","172","Block Day - Odd Periods","",""
