SectionID,BlockGroup,BufferNumber,Date,SchoolDay,DayType,Status
"M8-P1","Odd","1","2027-05-24","177","Block Day - Odd Periods","UNASSIGNED BUFFER"
"M8-P1","Odd","2","2027-05-26","179","Short Day","UNASSIGNED BUFFER"
"M8-P1","Odd","3","2027-05-27","180","Full Day","UNASSIGNED BUFFER"
"M8-P2","Even","1","2027-05-13","170","Full Day","UNASSIGNED BUFFER"
"M8-P2","Even","2","2027-05-14","171","Full Day","UNASSIGNED BUFFER"
"M8-P2","Even","3","2027-05-18","173","Block Day - Even Periods","UNASSIGNED BUFFER"
"M8-P2","Even","4","2027-05-19","174","Short Day","UNASSIGNED BUFFER"
"M8-P2","Even","5","2027-05-20","175","Full Day","UNASSIGNED BUFFER"
"M8-P2","Even","6","2027-05-21","176","Full Day","UNASSIGNED BUFFER"
"M8-P2","Even","7","2027-05-25","178","Block Day - Even Periods","UNASSIGNED BUFFER"
"M8-P2","Even","8","2027-05-26","179","Short Day","UNASSIGNED BUFFER"
"M8-P2","Even","9","2027-05-27","180","Full Day","UNASSIGNED BUFFER"
"M8-P3","Odd","1","2027-05-24","177","Block Day - Odd Periods","UNASSIGNED BUFFER"
"M8-P3","Odd","2","2027-05-26","179","Short Day","UNASSIGNED BUFFER"
"M8-P3","Odd","3","2027-05-27","180","Full Day","UNASSIGNED BUFFER"
