SectionID,BlockGroup,CourseSession,Date,SchoolDay,DayType,UnitID,UnitNumber,UnitTitle,LessonID,SortOrder,Type,LessonTitle,PlannedDays
"M8-P1","Odd","1","2026-08-06","1","Full Day","AMP-M8-U1","1","Rigid Transformations and Congruence","AMP-M8-U1-I05","5","Lesson","Spinning, Flipping, Sliding","1"
"M8-P1","Odd","2","2026-08-07","2","Full Day","AMP-M8-U1","1","Rigid Transformations and Congruence","AMP-M8-U1-I06","6","Lesson","Transformation Targets","1"
"M8-P1","Odd","3","2026-08-10","3","Block Day - Odd Periods","AMP-M8-U1","1","Rigid Transformations and Congruence","AMP-M8-U1-I07","7","Lesson","Moving Day","1"
"M8-P1","Odd","4","2026-08-12","5","Short Day","AMP-M8-U1","1","Rigid Transformations and Congruence","AMP-M8-U1-I08","8","Lesson","Getting Coordinated, Part 1","1"
"M8-P1","Odd","5","2026-08-13","6","Full Day","AMP-M8-U1","1","Rigid Transformations and Congruence","AMP-M8-U1-I09","9","Lesson","Getting Coordinated, Part 2","1"
"M8-P1","Odd","6","2026-08-14","7","Full Day","AMP-M8-U1","1","Rigid Transformations and Congruence","AMP-M8-U1-I10","10","Practice Day","8.1 Practice Day 1","1"
"M8-P1","Odd","7","2026-08-17","8","Block Day - Odd Periods","AMP-M8-U1","1","Rigid Transformations and Congruence","AMP-M8-U1-I11","11","Sub-Unit Quiz","8.1 Sub-Unit Quiz","1"
"M8-P1","Odd","8","2026-08-19","10","Short Day","AMP-M8-U1","1","Rigid Transformations and Congruence","AMP-M8-U1-I12","12","Lesson","No Bending, No Stretching","1"
"M8-P1","Odd","9","2026-08-20","11","Full Day","AMP-M8-U1","1","Rigid Transformations and Congruence","AMP-M8-U1-I13","13","Lesson","Are They the Same?","1"
"M8-P1","Odd","10","2026-08-21","12","Full Day","AMP-M8-U1","1","Rigid Transformations and Congruence","AMP-M8-U1-I14","14","Lesson","Are They Congruent?","1"
"M8-P1","Odd","11","2026-08-24","13","Block Day - Odd Periods","AMP-M8-U1","1","Rigid Transformations and Congruence","AMP-M8-U1-I15","15","Lesson","Transforming Angles","1"
"M8-P1","Odd","12","2026-08-26","15","Short Day","AMP-M8-U1","1","Rigid Transformations and Congruence","AMP-M8-U1-I16","16","Lesson","Tearing It Up","1"
"M8-P1","Odd","13","2026-08-27","16","Full Day","AMP-M8-U1","1","Rigid Transformations and Congruence","AMP-M8-U1-I17","17","Lesson","Puzzling It Out","1"
"M8-P1","Odd","14","2026-08-28","17","Full Day","AMP-M8-U1","1","Rigid Transformations and Congruence","AMP-M8-U1-I18","18","Lesson","Tessellate","1"
"M8-P1","Odd","15","2026-08-31","18","Block Day - Odd Periods","AMP-M8-U1","1","Rigid Transformations and Congruence","AMP-M8-U1-I19","19","Practice Day","8.1 Practice Day 2","1"
"M8-P1","Odd","16","2026-09-02","20","Short Day","AMP-M8-U1","1","Rigid Transformations and Congruence","AMP-M8-U1-I20","20","Performance Task","8.1 Performance Task","1"
"M8-P1","Odd","17","2026-09-03","21","Full Day","AMP-M8-U1","1","Rigid Transformations and Congruence","AMP-M8-U1-I21","21","Unit Synthesis and Reflection","Unit Synthesis and Reflection","1"
"M8-P1","Odd","18","2026-09-04","22","Full Day","AMP-M8-U2","2","Dilations, Similarity, and Slope","AMP-M8-U2-I03","3","Lesson","Sketchy Dilations","1"
"M8-P1","Odd","19","2026-09-09","24","Short Day","AMP-M8-U2","2","Dilations, Similarity, and Slope","AMP-M8-U2-I04","4","Lesson","Dilation Mini Golf","1"
