SectionID,BlockGroup,UnitID,UnitNumber,UnitTitle,RequiredItems,PlannedStartDate,PlannedEndDate
"M8-P1","Odd","AMP-M8-U1","1","Rigid Transformations and Congruence","17","2026-08-06","2026-09-03"
"M8-P1","Odd","AMP-M8-U2","2","Dilations, Similarity, and Slope","15","2026-09-04","2026-10-01"
"M8-P1","Odd","AMP-M8-U3","3","Proportional and Linear Relationships","17","2026-10-02","2026-11-04"
"M8-P1","Odd","AMP-M8-U4","4","Linear Equations and Linear Systems","18","2026-11-05","2026-12-14"
"M8-P1","Odd","AMP-M8-U5","5","Functions and Volume","18","2026-12-16","2027-02-01"
"M8-P1","Odd","AMP-M8-U6","6","Associations in Data","17","2027-02-03","2027-03-05"
"M8-P1","Odd","AMP-M8-U7","7","Exponents and Scientific Notation","18","2027-03-08","2027-04-19"
"M8-P1","Odd","AMP-M8-U8","8","The Pythagorean Theorem and Irrational Numbers","19","2027-04-21","2027-05-21"
"M8-P2","Even","AMP-M8-U1","1","Rigid Transformations and Congruence","17","2026-08-06","2026-09-03"
"M8-P2","Even","AMP-M8-U2","2","Dilations, Similarity, and Slope","15","2026-09-04","2026-09-30"
"M8-P2","Even","AMP-M8-U3","3","Proportional and Linear Relationships","17","2026-10-01","2026-10-30"
"M8-P2","Even","AMP-M8-U4","4","Linear Equations and Linear Systems","18","2026-11-03","2026-12-10"
"M8-P2","Even","AMP-M8-U5","5","Functions and Volume","18","2026-12-11","2027-01-27"
"M8-P2","Even","AMP-M8-U6","6","Associations in Data","17","2027-01-28","2027-02-26"
"M8-P2","Even","AMP-M8-U7","7","Exponents and Scientific Notation","18","2027-03-02","2027-04-01"
"M8-P2","Even","AMP-M8-U8","8","The Pythagorean Theorem and Irrational Numbers","19","2027-04-02","2027-05-12"
"M8-P3","Odd","AMP-M8-U1","1","Rigid Transformations and Congruence","17","2026-08-06","2026-09-03"
"M8-P3","Odd","AMP-M8-U2","2","Dilations, Similarity, and Slope","15","2026-09-04","2026-10-01"
"M8-P3","Odd","AMP-M8-U3","3","Proportional and Linear Relationships","17","2026-10-02","2026-11-04"
"M8-P3","Odd","AMP-M8-U4","4","Linear Equations and Linear Systems","18","2026-11-05","2026-12-14"
"M8-P3","Odd","AMP-M8-U5","5","Functions and Volume","18","2026-12-16","2027-02-01"
"M8-P3","Odd","AMP-M8-U6","6","Associations in Data","17","2027-02-03","2027-03-05"
"M8-P3","Odd","AMP-M8-U7","7","Exponents and Scientific Notation","18","2027-03-08","2027-04-19"
"M8-P3","Odd","AMP-M8-U8","8","The Pythagorean Theorem and Irrational Numbers","19","2027-04-21","2027-05-21"
