Category,UnitID,LessonID,Type,Title,Reason
"Optional imported item","AMP-M8-U1","AMP-M8-U1-I01","Lesson","Getting to Know Each Other","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U1","AMP-M8-U1-I02","Pre-Unit Check","8.1 Pre-Unit Check","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U1","AMP-M8-U1-I03","Explore","Tessellations","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U1","AMP-M8-U1-I04","Lesson","Transformers","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U2","AMP-M8-U2-I01","Pre-Unit Check","8.2 Pre-Unit Check","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U2","AMP-M8-U2-I02","Explore","Standard Paper Sizes","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U3","AMP-M8-U3-I01","Pre-Unit Check","8.3 Pre-Unit Check","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U3","AMP-M8-U3-I02","Explore","Visual Patterns","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U3","AMP-M8-U3-I09","Lesson","Stacking Cups","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U4","AMP-M8-U4-I01","Pre-Unit Check","8.4 Pre-Unit Check","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U4","AMP-M8-U4-I02","Explore","Equation Puzzles","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U4","AMP-M8-U4-I03","Lesson","Number Machines","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U5","AMP-M8-U5-I01","Pre-Unit Check","8.5 Pre-Unit Check","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U5","AMP-M8-U5-I02","Explore","Graphs of Sounds","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U5","AMP-M8-U5-I03","Lesson","Turtle Crossing","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U5","AMP-M8-U5-I11","Lesson","Piecing It Together","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U5","AMP-M8-U5-F1","Investigate","Packing Spheres","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U6","AMP-M8-U6-I01","Pre-Unit Check","8.6 Pre-Unit Check","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U6","AMP-M8-U6-F1","Investigate","The Ozone Layer Over Time","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U7","AMP-M8-U7-I01","Pre-Unit Check","8.7 Pre-Unit Check","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U7","AMP-M8-U7-I02","Explore","Creating a Sierpiński Triangle","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U7","AMP-M8-U7-I16","Lesson","Use Your Powers","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U8","AMP-M8-U8-I01","Pre-Unit Check","8.8 Pre-Unit Check","Excluded from initial required-item sequence"
"Optional imported item","AMP-M8-U8","AMP-M8-U8-I02","Explore","The Longest Cut","Excluded from initial required-item sequence"
"Additional assessment day","AMP-M8-U1","","Assessment Day","8.1 Additional Assessment Day","Outside initial sequence by explicit user decision"
"Additional assessment day","AMP-M8-U2","","Assessment Day","8.2 Additional Assessment Day","Outside initial sequence by explicit user decision"
"Additional assessment day","AMP-M8-U3","","Assessment Day","8.3 Additional Assessment Day","Outside initial sequence by explicit user decision"
"Additional assessment day","AMP-M8-U4","","Assessment Day","8.4 Additional Assessment Day","Outside initial sequence by explicit user decision"
"Additional assessment day","AMP-M8-U5","","Assessment Day","8.5 Additional Assessment Day","Outside initial sequence by explicit user decision"
"Additional assessment day","AMP-M8-U6","","Assessment Day","8.6 Additional Assessment Day","Outside initial sequence by explicit user decision"
"Additional assessment day","AMP-M8-U7","","Assessment Day","8.7 Additional Assessment Day","Outside initial sequence by explicit user decision"
"Additional assessment day","AMP-M8-U8","","Assessment Day","8.8 Additional Assessment Day","Outside initial sequence by explicit user decision"
